Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Parallel Motion,Yellowjackets,Parallel Motion,2022-08-26,19.0,333200.0,0
Drummers Song - Live,Wayne Shorter,Live At The Detroit Jazz Festival,2022-09-02,23.0,281080.0,0
LongGone,Joshua Redman,,,,,0
Live In Italy,Peter Erskine Trio,,,,,0
Architecture Of Storms,Remy Le Boeuf's Assembly Of Shadows,,,,,0
Center Stage,Steve Gadd,,,,,0
Remembering Bob Freedman,Ron Carter,,,,,0
Bird Lives,John Beasley,,,,,0
Música De Las Américas,Miguel Zenón,,,,,0
Rhythm & Soul,Arturo Sandoval,,,,,0
If You Will,Flora Purim,If You Will,2022-04-29,16.0,251493.0,0
Crisálida,Danilo Pérez,,,,,0
Get up! Shout!,Nana Mizuki,Get up! Shout!,2021-10-21,30.0,250118.0,0
The Better Benediction,nan,,,,,0
When I Pray,nan,,,,,0
Accentuate the Positive,Nancy LaMott,Come Rain or Come Shine,2005-01-01,2.0,239093.0,0
Hymn Of Heaven (Radio Version),nan,,,,,0
Holy Forever,nan,,,,,0
For God Is With Us,nan,,,,,0
Something Good (Studio version),วงนั่งเล่น (Nanglen Band),There is Something Good in everyday,2019-03-05,22.0,215133.0,0
God Really Loves Us (Radio Version),nan,,,,,0
All Things New,Tye Tribbett,All Things New,2022-07-08,44.0,187458.0,0
Clarity,DOE,Clarity,2022-02-18,36.0,214989.0,0
Breakthrough - Live,Ricky Dillard,Breakthrough: The Exodus (Live),2022-01-21,25.0,312002.0,0
Die To Live,Maranda Curtis,Die To Live,2022-02-18,12.0,265706.0,0
Life On It (feat. Sarah Reeves),TobyMac,Life After Death,2022-11-11,37.0,219373.0,0
My Jesus,Anne Wilson,My Jesus,2022-04-22,57.0,217680.0,0
Always,Chris Tomlin,Easter Worship 2023,2023-02-22,0.0,248666.0,0
LION (feat. Chris Brown & Brandon Lake),Elevation Worship,LION,2022-03-04,62.0,354305.0,0
Mehr als beste Freunde - Teil 22,Hanni und Nanni,Mehr als beste Freunde - Das Original-Hörspiel zum Kinofilm,2017-05-26,19.0,100200.0,0
I Saw The Light,Willie Nelson,The Willie Nelson Family,2021-11-19,27.0,112320.0,0
Confessio,Keith & Kristyn Getty,Confessio - Irish American Roots,2021-10-29,20.0,271637.0,0
Let's Just Praise The Lord,Gaither Vocal Band,Alleluia! Praise Continues,1993-01-01,2.0,427333.0,0
Dharma,Sebastian Yatra,Dharma +,2022-07-29,38.0,195760.0,0
Amor Viajante,Fátima Fonseca,Fado Bossa Nova,2017-12-01,0.0,197060.0,0
De Adentro Pa Afuera,Camilo,De Adentro Pa Afuera,2022-09-06,58.0,189680.0,0
AGUILERA,Christina Aguilera,,,,,0
The Love & Sex Tape,Maluma,,,,,0
La Tóxica,Farruko,La 167,2021-10-01,55.0,180520.0,0
LEGENDADDY,Daddy Yankee,LEGENDADDY,2022-03-25,44.0,48520.0,0
"TRAP CAKE, VOL. 2",Rauw Alejandro,,,,,0
Los Años Salvajes (feat. Fabiana Cantilo),Fito Paez,Los Años Salvajes,2021-11-22,37.0,375754.0,0
Alegoría,Gaby Moreno,,,,,0
1940 Carmen,Mon Laferte,,,,,0
Tinta y Tiempo,Jorge Drexler,Tinta y Tiempo,2022-04-22,52.0,249144.0,0
El Reparto,Cimafunk,El Alimento,2021-10-08,18.0,200840.0,0
